id,body
0002357b-67b8-46ed-bbd0-233ef3832400,"Take stock of your food shopping options. Where do you go to stock up on household items, groceries, specialty foods, etc? Online, offline? Has Covid affected these options or what you prefer to use? If you had to break it down, what percentage goes to each type of store in any given month (roughly)? Please upload a screenshot of the places where you buy food and refreshments."
0005ff86-6194-48a1-bf3a-3a772bd05ca1,"VIDEO 2: SU CASA

Por favor muéstrenos su casa (haga de cuenta que esto es como un tour de su casa). Por favor incluya lo siguiente:

• Quién vive con usted
• Cuáles son sus áreas favoritas donde usted pasa el tiempo solo
• Cuáles son sus áreas favoritas donde usted socializa con sus amigos y familia

Aún más importante, por favor denos un tour de su cocina. En este video por favor incluya lo siguiente:

• Su alacena
• Su refrigerador
• El área donde usted guarda sus bebidas alcohólicas y sin alcohol. 
"
001849d2-41c2-4b6e-b9fc-c0022efe64c6,How are you staying in touch with your school during this time? Are you satisfied with the current level of communication? How could it be improved (if at all)? 
0018fec1-4233-4162-9abf-9250c1ba1342,"<p>Finally, please record yourself completing this sentence with your own words. ""The amenities my workplace could add to make me feel valued and productive would be _________________________."" Please describe in as much detail as possible! Upload the video here - around one minute is long enough. Thank you!</p>"
00204160-ef17-47a6-847a-9b337598c612,What handbag brands are “important” today? Upload a screenshot or take a picture of two or three examples. Do you personally shop these brands? Why or why not?
00213752-9397-4cfa-844c-829fd5d91dc5,"<p>Est-ce que le fait d'avoir plus d'éléments sur Charlotte Casiraghi a un effet sur votre perception de cette campagne ? Dans ce cas, pourquoi ?</p>"
0024ee3b-9cf6-48ad-b9cb-d26df42a0a4c,"VIDEO POST: Please put on an athletic apparel outfit in your wardrobe that you feel does not fit you the way you wish it would, and then have a household member (or prop up your phone) film you describing the following: What brands are the pieces? What are the fabrics (have you ever checked)? What does it feel like? Why does it bother you… how does it fall short? Has it always fit poorly? Did you try it on before purchasing?"
00303db0-7193-4f7e-8150-c13a9db4e25f,Is there any way your company could make getting food and drink (safely) more CONVENIENT for you as the workplace gets more filled with people again?
00319d27-0b0b-4243-a192-6f944e907b61,"What does your IDEAL home look and feel like? Please upload at least one picture of what you envision, and why you love that vision! On this same post, also upload some products or services you would love to have in your home - in an ideal world where money was no object! Please describe each."
003863d4-0357-4c4f-a449-343d04c42c90,"Through which channels do you want to hear about SkinCeuticals? Do you have any final advice for the brand’s communication, in terms of advertising or messaging?  "
003bd1ee-e155-4155-abf4-f2bdbe2edd79,"If you prefer to shop lululemon IN PERSON: 

How challenging is it to shop at lululemon in-store (if at all)? Does it differ based on clothing item?"
003ec96a-cbf9-4bd4-8890-aa2bc73afced,<p>this is my new question</p>
003f027b-2af6-429a-8d81-36b0b8a22769,"<p>What capabilities of Fusion 360 does ""Show me What's Possible"". emphasize most clearly?</p>"
0057e4bb-e4d1-4b0a-9fdf-9f299c6a82c6,"Thinking beyond food and drink, what else could your college offer you that would improve your quality of life on a daily basis? What perks or amenities would truly blow your mind if they were to be offered? No idea too small or large here! Please upload screenshots to bring this to life. For each idea, please answer: Why would this be on your wish list?"
0059f7c5-8839-4fd1-b48b-4f079312f41a,"Next, I’d like to understand how you use your smartphone to communicate with others. Has this changed at all over the past few years? If so, how?"
005f9aae-d7c1-4f88-ac29-797d55746b76,<p>Please choose the statement below that best describes you!</p>
00600e23-e8be-4307-a0f2-56dae6755bca,RTW: Are you thinking about the fall shows? Are you looking at fall fashion at all - if so where? How have you felt about fashion and apparel during this time? Are you tired of athleisure or do you think you'll wear it even more in the next 12 months?
006218ed-8a56-4c62-bca2-80dd93aa21b4,"During remote learning this past spring, how did meals and snacks fit in to your day? Did you keep a regular routine or was each day a different challenge? Please upload a screenshot or two to show me what you would lunch or snack on, typically!"
