id,name,sequentially,state,language,start_date,end_date,objective,screening_questions_instructions,lock_groups,lock_moderator,lock_topics,lock_tags,lock_notes_and_files,created_at,updated_at,team_id,user_id,image_id,type,archived_at,invitation_link
1,Luxury Skin Care,0,30,,2/7/21 5:00,,<p>To explore the discovery process of current Tata fans and look for opportunity to broaden their loyalty to more usage of Tata products</p>,<p>We have a few questions to explore with you to see if you are a fit for this particular study! It should take about 5 minutes to answer these.</p>,1,1,0,0,0,2/7/21 19:39,2/22/21 14:04,1,1c501ffa-008d-4222-ae1d-d8a6ca95baa6,fb979747-019e-4423-9992-2ae70adeb5a3,10,,c28c31df68c0c3a5cb280c8c4385b001
2,Beverage Study,0,20,,2/8/21 5:00,2/12/21 5:00,<p>This is the beverage study</p>,,1,1,1,0,0,2/8/21 15:56,2/8/21 17:40,3,f41a9e3c-f05c-40ca-adcc-4aecaab219c2,41477091-6f05-4d95-b2d4-0cc7b80671c9,10,,7442135c0864ed58ce39d41bbf61b7c4
3,josh test,0,10,,2/8/21 5:00,,"<p>The AWS MLOps Framework solution helps you streamline and enforce architecture best practices for machine learning (ML) model productionization. This solution is an extendable framework that provides a standard interface for managing ML pipelines for AWS ML services and third-party services. The solution’s template allows customers to upload their trained models (also referred to as&nbsp;<em>bring your own model</em>), configure the orchestration of the pipeline, and monitor the pipeline's operations. </p>",,0,0,0,0,0,2/8/21 18:38,2/8/21 18:38,2,1c501ffa-008d-4222-ae1d-d8a6ca95baa6,,10,,e2cd3db3c3ffbfb3ef9a9aabf68b170d
4,CEO of Life,0,30,,2/22/21 5:00,,<p>To collect feedback and gather insights from a prototypical collection of women across the U.S. who would be the target audience for a new platform idea. </p>,<p>Just a few questions to see if you're a fit for this study! This should only take a minute or so.</p>,0,1,0,1,1,2/10/21 17:16,3/6/21 23:25,4,55dcd128-d6d5-409c-a58a-d94fd1e77250,9423cf26-4f56-41f3-a091-231c94307b9f,10,,11bdf1171e223575e2f859f009cada0e
5,Shell of Study,0,10,,2/10/21 5:00,,<p>To collect feedback and gather insights from a prototypical collection of women across the U.S. who would be the target audience for a new platform idea. </p>,,0,0,0,0,0,2/10/21 23:31,8/22/21 23:22,1,55dcd128-d6d5-409c-a58a-d94fd1e77250,5b067028-1fb4-44e0-8d98-ca7e67b5a711,10,,bd7bf426248a6b235a0ed91d1f23f7bd
6,Food at School,0,30,,2/17/21 5:00,,<p>To examine how the food service program at WCU can be improved</p>,,0,0,0,0,0,2/12/21 22:18,8/22/21 23:21,1,1c501ffa-008d-4222-ae1d-d8a6ca95baa6,e2de8262-e34e-4e95-bbcf-01f7d2c71803,10,,17b6e5d7ab5c34e87a5b8e79f308557a
7,WNBA,0,30,,2/14/21 5:00,,<p>To explore the fan relationship of women's college basketball with that of the WNBA</p>,,0,0,0,0,0,2/14/21 20:34,8/22/21 23:20,1,1c501ffa-008d-4222-ae1d-d8a6ca95baa6,9cede193-9119-430c-9b09-b175655be667,10,,c609d93a5340fb0b28dad459ad76d871
8,The Collective,0,30,,2/19/21 5:00,,<p>To collect a flash pulse of the lives of luxury-literate women across the United States throughout 2021</p>,<p>Quick question before we get going!</p>,0,1,0,1,1,2/15/21 21:11,3/24/21 19:52,2,1c501ffa-008d-4222-ae1d-d8a6ca95baa6,3f3fb8d8-de80-42df-9e9b-b1c0bb85945a,10,,c86aa6a4d5de8b523834d5662324b15c
9,CEO of Home,0,10,,2/24/21 5:00,,<p>To explore how women who buy luxury personal care products for themselves manage the stocking up and purchasing of personal care items for their entire household</p>,,0,0,0,0,0,2/18/21 22:56,2/18/21 22:56,2,1c501ffa-008d-4222-ae1d-d8a6ca95baa6,e96b8f1d-0f4f-49f2-bc8c-21d54eb72416,10,,eb7659d0ec59fc0ad13f369204cb8ace
10,CEO of Life,0,20,,2/26/21 5:00,,<p>To collect feedback and gather insights from a prototypical collection of women across the U.S. who would be the target audience for a new platform idea.</p>,<p>Just a few questions to see if you're a fit for this study! This should only take a minute or so.</p>,0,1,1,0,0,2/19/21 20:50,3/11/21 19:04,4,1c501ffa-008d-4222-ae1d-d8a6ca95baa6,b779c7be-c04e-46a4-bde1-def5c04f24ad,10,,0a3e5f3bd1a77dcbd731f0ddc9dad0b1
