id,name
1,Spark
2,LookLook
3,Castillo & Associates
4,Thibault
5,Aramark Higher Ed
6,CHANEL Global
7,L'Oreal 
8,Mondelez
9,Aramark Health Care
10,_Testing
11,Doner 
12,Doner
13,Terra- test
14,Lululemon
15,Aramark Business Dining
16,Yuzu Kyodai
17,_TestingInheritence
18,QA 
19,Aramark Higher Ed
20,Aramark Higher Education
21,API locust testing team
22,Doner Platform Demo
23,LVMH Quant
24,Spark Proprietary Studies
25,CHANEL U.S.
26,Board of Innovation
27,Lucky Generals
28,Harris Insights
29,HumanCo
30,Various
31,Hershey
32,Deutsch
33,Google
34,Tiffany & Co.
35,GM
36,Tata Harper
37,Alpha Foods
38,Madaluxe
39,Zelig
40,Madaluxe
41,__testing__
42,Tourism Board
43,Tourism Board
44,Channel T
45,Channel B
